w_j; w_j-1; w_j-2; weight coefficient
 2*omega + 1; 2; omega - 1; 1
 2*omega + 1; 2*omega + 1; omega - 1; 0
 2; 0; -1; -1
 -2*omega - 2; -2*omega - 2; -2*omega - 1; omega + 1
 -omega + 1; 2*omega; -omega - 2; -2
 -omega - 2; 2*omega + 1; -1; 2*omega + 1
 2*omega + 1; 2*omega + 1; -omega; -omega - 1
 -2*omega - 1; 2*omega + 1; 2*omega; 2*omega
 omega - 1; 2; -omega; omega + 2
 -omega - 1; -2*omega - 2; omega + 1; 1
 -omega - 2; -2*omega - 2; -omega; 1
 1; 2*omega + 2; 0; -1
 -omega - 1; -omega; -omega + 1; 0
 omega + 1; omega + 1; 2*omega + 2; 0
 -omega; -2*omega - 2; omega; 0
 -omega - 1; -2; -omega + 1; -1
 2*omega + 1; -omega - 2; 2*omega + 1; -2*omega
 2*omega + 1; 2*omega; 2*omega + 1; -omega
 2*omega + 1; 2*omega; omega - 1; -omega - 1
 2*omega + 1; omega + 1; -2*omega - 1; -omega
 omega + 2; -2; -2*omega - 1; -2*omega - 2
 -omega; 0; omega + 1; 0
 2*omega + 2; -1; 2*omega + 1; -2*omega - 1
 -2*omega; 2*omega; -2*omega; -2
 -omega - 1; 2*omega; 2*omega; omega
 -2*omega - 2; 2*omega; -omega; omega
 -omega - 2; -2*omega; -2*omega; omega + 1
 -2; omega + 1; -2*omega - 1; omega + 1
 2*omega + 2; -2; 0; -2*omega - 1
 -2; 2; omega; omega + 2
 -omega; omega + 1; -omega; -1
 -omega - 2; -2*omega; 1; omega + 2
 omega; -omega; omega + 2; 1
 2*omega; -omega - 2; 1; -2*omega
 1; -omega - 1; -1; -omega - 1
 -omega - 2; omega + 1; -2*omega - 1; 2*omega + 1
 -2; 2*omega + 2; -omega - 1; omega + 1
 -2*omega - 2; 2; -omega + 1; 2*omega + 1
 0; -omega - 2; 2*omega + 1; -omega
 omega - 1; -omega - 2; -2*omega - 2; 1
 -1; 1; omega - 1; omega + 1
 omega + 1; omega; -omega - 1; -omega - 1
 -omega - 1; 2*omega + 2; omega + 2; omega
 omega - 1; 1; -omega; 1
 -omega + 1; -omega + 1; -omega + 1; -1
 1; 1; 2*omega + 2; 0
 2*omega; 2; 0; 1
 2*omega; -omega - 2; 2*omega + 1; -omega + 1
 -1; 0; 1; 1
 -omega - 1; -1; 2*omega + 1; 0
 -omega - 2; 1; -omega; omega + 1
 -omega + 1; -2*omega; -2*omega; -1
 -1; -2*omega - 2; omega + 1; 1
 -2*omega - 2; 2*omega + 2; omega - 1; 2*omega + 1
 -2*omega - 1; omega; omega; omega
 2*omega; -omega - 2; -omega - 1; -omega
 -2; 2*omega; omega + 1; omega + 1
 omega + 2; -2*omega - 2; -1; -2*omega - 1
 2*omega + 1; omega + 1; 2*omega + 1; -omega
 -omega + 1; omega; -omega + 1; -2
 -omega - 2; -1; -omega + 1; 0
 -1; 2*omega; 0; 0
 omega + 1; -omega - 2; omega + 2; -2*omega - 1
 2*omega; 2*omega + 1; 2*omega + 1; 1
 -2*omega - 1; omega + 1; -omega - 1; 2*omega
 -omega - 2; -omega - 2; -omega - 2; omega + 1
 omega; -2*omega; -2*omega - 2; 1
 -1; -1; -2*omega - 1; 0
 -omega + 1; -omega - 2; -2*omega; -omega - 2
 0; -1; -omega - 2; 0
 omega + 1; -2*omega - 2; omega + 1; -omega
 2*omega + 2; omega + 1; omega; -omega - 1
 omega - 1; -omega + 1; -2*omega - 1; 1
 -omega - 1; 2*omega; omega - 1; omega
 -2*omega - 1; -2*omega - 2; -2; omega
 1; 0; -omega; -omega - 1
 -2*omega; -2*omega - 2; -omega - 2; -1
 2*omega + 2; -omega - 1; -omega - 2; -2*omega - 1
 -2*omega - 1; omega + 2; -2*omega - 1; 2*omega
 -2*omega - 1; -omega - 1; omega; omega
 -2*omega; omega + 2; -2*omega - 1; omega - 1
 -2*omega - 2; -omega + 1; 2; omega + 1
 omega + 2; 1; 2*omega + 2; -omega - 1
 1; -omega; 2*omega; 0
 omega + 2; 2; -2*omega - 1; -omega - 1
 -omega + 1; -omega + 1; -2; omega
 omega; 2*omega + 2; -omega - 1; 0
 2*omega + 2; -2*omega - 2; omega - 1; -2*omega - 1
 2*omega + 2; 2; 2*omega; -omega
 omega + 1; -1; 0; -omega - 1
 -2; -1; -2*omega - 2; omega + 1
 omega + 1; -omega; omega + 1; -omega
 -omega + 1; omega - 1; -2*omega - 2; -2
 -omega; 2*omega; omega + 1; -1
 2; omega + 1; -omega - 1; -1
 -omega - 1; omega; omega + 2; 0
 2; -2*omega; -omega; -omega - 1
 -omega; 2; -2*omega; omega
 omega + 1; -omega; omega - 1; -omega
 0; omega - 1; -2*omega; -omega - 1
 -2*omega - 1; -2*omega - 2; 2*omega; 0
 -1; -omega; -2*omega - 1; omega + 1
 -omega + 1; 2*omega + 2; 1; omega - 1
 -2; 0; -2*omega; omega + 1
 2*omega; -2*omega; -2*omega - 1; -omega + 1
 omega + 1; 2*omega; -omega - 1; -omega - 1
 omega + 2; 1; -2*omega - 1; -omega - 1
 -omega - 1; -2; -2; 0
 -2; 2*omega + 2; 2*omega + 1; 2*omega + 2
 omega; 2*omega + 2; -omega - 2; omega + 1
 2*omega; -2; -2*omega; -omega
 -2*omega; -2*omega - 1; -omega - 2; omega
 -2*omega; -2*omega - 1; 2; -1
 -2; -omega - 1; 2*omega + 2; 1
 -omega; -omega + 1; 2*omega + 2; omega + 1
 -2; omega + 2; -2*omega; omega + 1
 2*omega; -omega - 1; omega + 1; -omega + 1
 -2*omega - 1; -2*omega - 1; omega - 1; omega + 1
 -omega; omega - 1; ; -1
 -omega + 1; 2; -omega; -1
 -omega - 1; omega + 2; -2*omega; omega
 -omega; -1; -2*omega; -1
 1; omega + 2; -2; omega
 0; -2*omega; 2*omega; 1
 omega; -2*omega - 1; 1; -omega + 1
 -2*omega - 1; -2*omega - 1; 2*omega + 2; omega + 1
 1; omega + 2; -omega - 2; omega
 -1; -omega; -omega - 1; omega + 1
 -omega - 1; omega - 1; 2*omega; omega
 omega + 2; -1; -omega + 1; -2*omega - 2
 omega; 2*omega; 1; -omega - 1
 -2; 2; omega + 2; omega + 2
 -omega + 1; omega - 1; 2*omega + 2; -omega - 2
 omega; omega + 1; -2*omega - 2; 0
 0; -2*omega - 1; -2*omega; -omega
 omega - 1; omega; 2; 1
 omega + 1; -2; 0; -omega - 1
 2; 1; omega - 1; -1
 2*omega + 1; 2*omega + 2; omega - 1; 0
 2*omega + 1; omega + 1; omega + 2; -omega
 -omega; 2*omega + 1; -2; omega - 1
 -omega; -omega - 2; -omega - 2; -1
 0; -2; -omega - 1; -omega - 1
 0; 2*omega + 2; -2*omega - 2; omega
 -omega; 2*omega + 2; -2*omega - 2; omega - 1
 -2*omega - 1; omega - 1; -2; omega - 1
 0; -omega - 2; 2*omega + 2; -omega
 0; 1; -2*omega; 0
 omega + 1; 2*omega + 1; -1; -1
 -omega; -1; 1; -1
 -2*omega - 1; -omega; 2*omega; omega + 1
 -omega - 1; -2*omega; omega + 2; 1
 2*omega + 1; omega; 2*omega; -omega
 -2*omega; -1; -2*omega - 1; omega - 1
 -omega + 1; -2*omega - 2; 2*omega + 2; -omega - 1
 2*omega; 2*omega; -omega - 1; -omega
 -omega - 2; -omega; 2*omega + 2; omega + 2
 2; 1; -omega; -1
 -2*omega; -2*omega; 1; omega
 -1; omega + 1; -omega + 1; 0
 omega - 1; -1; 2*omega + 1; 1
 -2*omega; omega; -omega; omega - 1
 0; omega + 1; -2*omega - 2; omega
 omega + 1; 2*omega; -2; -1
 -2*omega - 2; 0; -2*omega - 2; 2*omega + 1
 omega + 1; 0; 2*omega + 1; -omega
 2; omega + 1; -omega - 2; -1
 -2; 2*omega + 2; omega + 1; omega + 1
 -omega; -2*omega - 2; 1; -omega - 1
 -omega + 1; -2*omega - 1; omega + 2; -omega - 1
 omega; -omega - 1; -omega - 2; 1
 omega - 1; omega - 1; omega + 1; 1
 -2; 1; -omega - 2; omega + 2
 -omega - 1; -1; -2*omega - 1; omega
 0; -2; -2*omega - 2; -omega - 1
 -2*omega; -2*omega; -2; omega
 -2*omega - 1; omega + 2; 1; omega
 omega + 1; -omega - 2; omega - 1; -omega
 0; -omega - 1; omega + 2; -omega
 omega - 1; -omega; 2*omega; 2
 -omega + 1; -2*omega - 1; omega - 1; 0
 -1; 2; 2*omega + 2; omega + 2
 -omega; omega; -omega; -1
 1; 0; omega + 1; -omega - 1
 -2*omega - 1; 2*omega + 2; -2*omega - 2; 2*omega
 2; 2*omega + 2; -2*omega - 1; -2
 omega + 1; -2*omega - 2; omega - 1; -omega
 1; -2; omega + 1; -omega - 1
 -1; 0; omega + 2; 1
 2; -omega - 1; -1; -omega - 1
 -omega + 1; 1; -omega; -1
 -omega + 1; -omega + 1; 2; -1
 -omega + 1; -2*omega - 1; -2*omega - 1; -1
 -omega; -omega + 1; -2*omega - 2; omega
 omega + 2; -2; -omega - 2; -2*omega - 2
 -omega - 1; 2; omega + 1; omega + 1
 0; 2*omega + 2; 0; omega
 -2*omega - 2; 1; -2*omega - 1; 2*omega + 1
 2*omega; 2; 2*omega + 2; 2
 -omega; -omega - 1; -2*omega; -1
 1; -2; -omega; -omega - 2
 2*omega; -omega + 1; 2*omega; 2
 2*omega; -omega - 1; omega; -omega + 1
 1; 2*omega; 2*omega + 2; -1
 1; omega - 1; 1; -omega - 2
 omega + 1; 0; 1; -omega - 1
 -2*omega - 2; 2*omega; -omega - 1; 2*omega
 omega + 2; -omega + 1; -2*omega; -omega - 1
 -omega + 1; 2*omega + 1; -2*omega - 1; -2
 -2*omega - 2; -omega + 1; 2*omega + 2; 2*omega + 2
 omega + 1; -2*omega; omega - 1; 1
 2*omega; 2*omega + 1; 1; -omega
 0; omega - 1; -omega; -omega - 1
 2*omega + 1; omega; omega + 2; -omega
 -2*omega - 2; -omega + 1; 2*omega; 2*omega + 2
 2; -omega; -2*omega; -omega - 1
 -2*omega - 2; omega + 1; -2*omega - 2; 2*omega + 1
 2*omega; -omega; 2*omega; -omega + 1
 2*omega; -omega - 1; -2*omega - 2; -omega
 -1; -2*omega; -omega - 1; 1
 1; 2*omega + 2; -2*omega - 1; -1
 omega; 2*omega; -omega - 1; 0
 -1; omega; 2*omega; omega + 1
 2*omega; -omega - 2; omega - 1; -omega + 1
 2*omega + 2; 1; 1; -omega
 2; omega + 1; 2*omega; -1
 0; 1; -2; omega + 1
 2*omega + 2; omega - 1; 0; -2*omega - 1
 -2*omega - 1; 1; -omega - 1; omega
 -omega - 1; omega + 2; 2*omega + 2; omega + 1
 2; 2*omega + 2; 1; -1
 omega; -1; -1; -omega
 -omega + 1; 2*omega + 1; 2*omega + 1; -1
 -2*omega - 1; omega + 1; 2*omega + 1; omega
 -2*omega; -2*omega - 1; -omega + 1; -1
 -2*omega; omega + 2; 2*omega + 2; omega
 omega + 1; -2*omega - 2; -omega + 1; -2*omega - 1
 2*omega; omega; omega + 2; -omega
 omega + 2; 2*omega; -2*omega - 1; -omega - 2
 -2; -2*omega - 2; -1; 1
 2*omega + 1; omega + 1; 0; -omega
 -omega; -2*omega; omega; omega + 1
 omega - 1; omega; omega + 2; 1
 -2*omega - 1; -2*omega; -omega - 2; omega + 1
 -omega - 2; 2*omega + 1; -omega; omega
 0; -2*omega - 1; 2*omega; 1
 2*omega + 1; -omega + 1; 2*omega + 2; -omega + 1
 omega + 1; -omega - 1; 1; -omega
 omega - 1; 2*omega; 2*omega; 1
 -omega + 1; -2*omega; -1; 0
 2; 2; 0; -1
 2*omega; -2*omega - 2; 2*omega + 1; -omega + 1
 omega - 1; 2*omega + 2; -2*omega - 1; omega + 1
 -2*omega - 1; 2*omega + 2; omega - 1; 2*omega
 -omega - 2; omega + 2; -omega; 2*omega + 1
 2*omega; omega + 1; omega + 2; 1
 omega; 0; -omega + 1; -omega
 0; -omega; -2*omega - 2; 0
 -2*omega - 1; -omega - 1; -2*omega - 2; omega
 -omega; 2*omega + 1; -omega; omega - 1
 2; 2; omega + 2; -1
 -2*omega - 1; -omega; -2*omega; omega
 1; 2; -omega; 0
 omega - 1; -2*omega; -2*omega - 2; 1
 2*omega + 2; omega; 2; -2*omega - 1
 -2*omega - 2; 2; omega + 2; 2*omega + 2
 -omega - 2; -2*omega; 0; omega + 2
 omega - 1; -omega - 2; -omega - 2; 1
 omega; -omega; omega; 1
 -omega; 2*omega + 2; 1; omega
 2*omega + 1; -2; -omega + 1; -2*omega - 1
 omega; -2*omega - 1; 2; -omega + 1
 -2; 2; -1; 2*omega + 2
 -2; omega; -2; omega + 1
 2*omega + 1; -2*omega - 1; 2*omega; -omega + 1
 2*omega; -1; -omega; -omega
 -omega; 2*omega; 2*omega + 1; -1
 omega - 1; -omega - 1; omega + 1; -omega + 1
 2; -2*omega; -2; 0
 -2*omega; 2; 2*omega + 1; omega
 -2; -2; 2*omega + 1; 1
 1; omega + 2; -2*omega - 1; -1
 1; omega - 1; 2*omega + 2; -omega - 1
 omega + 2; omega + 2; -2*omega - 2; -1
 -omega; -omega - 2; 2; -omega - 1
 -1; -omega; omega; 1
 omega; omega + 1; 1; 0
 -omega; -2; -omega; -1
 -omega; -2; 2*omega + 2; -omega - 1
 2*omega + 1; omega + 2; omega + 2; -omega
 -2*omega - 2; 1; 2; omega + 1
 -omega - 1; omega - 1; 2; -1
 2; -1; 2*omega; -omega - 1
 omega - 1; 2*omega + 1; 1; 1
 2; -2; 2*omega + 1; -2*omega - 2
 -2*omega; omega - 1; -omega + 1; -2
 -2*omega; omega + 2; omega; 2*omega
 omega; omega - 1; -omega + 1; -omega - 1
 -omega - 1; 0; 1; 0
 1; 2; omega + 1; 0
 -2; 2*omega; -2*omega - 1; omega + 1
 -omega - 2; omega + 1; -2*omega; omega + 1
 -2*omega; omega; -1; omega - 1
 -2*omega; -2; -2*omega; -2
 -2*omega - 2; 2; -2; 2*omega + 1
 2*omega + 1; 2*omega + 1; 2*omega + 1; -omega
 -2; -omega - 1; -2*omega - 2; 1
 0; 2; 2*omega + 2; omega + 1
 1; -2; -2*omega - 2; -omega - 2
 2*omega; -omega - 2; omega + 1; -omega + 1
 2*omega; omega; 0; -omega
 -2*omega; -1; omega; -1
 2*omega + 2; -omega + 1; ; -omega
 omega + 2; 2; -2*omega - 2; 0
 -omega - 1; -omega - 1; -2; omega + 1
 -omega - 1; omega + 2; -2*omega - 1; omega
 -omega - 1; 1; -2*omega; omega
 -1; -2; -omega - 2; 0
 2*omega + 2; omega - 1; omega + 2; -2*omega - 1
 -omega; -2*omega; 2*omega + 2; 0
 -omega; 0; omega + 2; 0
 -omega; -1; -omega - 2; -1
 -1; 1; 2*omega; omega + 1
 -omega; -omega; -omega + 1; 0
 1; -2*omega; -2*omega - 1; 0
 -omega; -2*omega - 2; -omega - 1; 0
 -1; -omega - 1; 1; 1
 omega - 1; -omega + 1; -2; omega + 2
 -omega - 2; 2; -omega - 2; 2*omega + 2
 -2; -omega; -1; omega + 2
 -omega + 1; -1; -2*omega - 1; -omega - 2
 2*omega; -omega - 2; omega + 2; -2*omega
 2*omega + 1; -2; -2*omega; -2*omega - 1
 -2*omega; 2; -omega - 2; 2*omega
 -2*omega - 2; 2*omega + 2; 2; 2*omega + 1
 -2*omega - 1; omega - 1; 0; omega - 1
 -2*omega; -2*omega - 1; -2*omega; -1
 -omega + 1; 2; -2*omega; -1
 -omega; -omega; omega + 1; 0
 -omega + 1; omega + 1; omega; -1
 omega + 1; 2*omega; -2*omega; -omega - 1
 omega - 1; -2*omega - 1; -2; 2
 -1; 0; 2*omega; omega + 1
 omega; -omega - 1; omega + 1; -omega
 -2*omega; -omega - 1; 2; -1
 -2*omega - 1; omega + 2; 2*omega + 1; 2*omega + 1
 omega + 2; omega; -omega - 1; -omega - 2
 omega + 2; 2*omega + 1; -2*omega; -omega - 2
 2*omega; -1; -2*omega; -omega
 1; omega + 1; -2; -1
 omega - 1; -2*omega - 2; 2; -omega + 1
 -omega - 1; -omega; 0; omega + 1
 -1; omega - 1; ; 0
 omega + 1; -omega; 2*omega; -omega
 1; 0; 2*omega + 1; 0
 -2; 0; omega + 1; omega + 2
 -omega + 1; omega; omega; -1
 2*omega; 2*omega; -omega - 2; 0
 omega + 1; omega + 1; omega; 0
 -2; 2*omega; 2*omega; omega + 1
 0; omega - 1; -2; -1
 2; -1; -2*omega - 2; -omega - 2
 omega; -2; 2*omega + 1; -omega
 -omega - 1; omega; -omega - 1; omega
 0; -2*omega - 2; -2*omega; -omega
 1; omega + 2; -1; omega
 -2*omega; -1; 2*omega; -1
 -2*omega; 2*omega; 2; -2
 -omega - 2; 2*omega + 1; omega; 2*omega + 1
 -2*omega - 1; omega - 1; -omega + 1; -1
 -2*omega - 2; -2; omega + 2; 0
 -omega - 1; 0; -1; omega + 1
 -omega - 2; omega + 1; omega - 1; 2*omega + 1
 2*omega + 2; 1; 2*omega; -omega
 -2*omega - 2; 2*omega; -1; 2*omega
 -1; 2*omega + 1; 2; 0
 -omega - 2; omega + 1; -omega - 1; 2*omega + 1
 omega + 2; omega - 1; -2*omega; -2*omega - 2
 omega - 1; 2*omega; -2*omega - 2; 0
 omega + 2; omega - 1; -omega - 2; -omega - 2
 2*omega + 1; 2*omega + 1; -2; 0
 -omega; 0; -2*omega - 2; -1
 -2*omega - 1; -2; -2; omega
 2*omega + 2; 2*omega + 2; -2*omega - 2; -omega - 1
 0; -1; omega; 0
 omega + 2; -1; omega - 1; -omega - 1
 0; -omega + 1; -omega - 1; omega + 1
 -1; omega + 1; -2*omega - 2; omega + 1
 -2*omega; -2*omega - 2; omega; -1
 -2*omega - 1; 1; -2*omega - 2; omega
 -omega; omega + 1; omega + 1; omega
 2*omega + 2; 0; 2*omega; -omega
 -2*omega - 1; 2; omega; 2*omega + 1
 omega - 1; -omega; omega - 1; 2
 omega; -omega - 1; 1; -omega
 -omega; 2*omega; -omega - 1; omega - 1
 2*omega; 1; 0; 1
 0; -2*omega - 1; -2*omega - 1; 0
 -omega + 1; -1; omega; -1
 omega + 1; 2; omega + 2; 1
 0; 2*omega + 1; -omega - 2; omega
 0; -2*omega - 1; -omega - 1; 0
 omega - 1; omega; -2; 1
 omega + 2; 2*omega; omega - 1; -omega - 2
 omega + 2; 2; -2; 0
 omega - 1; 1; -omega + 1; 1
 omega; 2; omega; 1
 2*omega + 1; omega + 2; 2*omega + 1; 1
 1; 2*omega + 2; -omega - 2; -1
 2*omega + 1; -omega + 1; -omega - 1; 1
 -omega + 1; -2*omega - 2; omega; -omega - 1
 omega; omega + 2; -omega + 1; 0
 -1; -1; 0; 0
 -2*omega - 2; 1; -2; 2*omega + 1
 2; 2*omega + 1; -2; -2
 -2*omega - 2; 1; omega + 1; 2*omega + 1
 -2; -omega - 1; -omega - 1; 1
 2*omega; 1; -2*omega - 1; 1
 -omega - 1; -2; -omega; -1
 -2*omega - 2; 1; -omega + 1; 2*omega + 1
 omega - 1; -2; -1; 1
 -omega; 2; -omega + 1; omega
 omega - 1; 2*omega + 2; omega - 1; omega + 1
 -omega + 1; 2*omega + 1; 1; -2
 2; omega; -1; -omega - 2
 omega + 2; 2*omega + 1; -2*omega - 1; -omega - 2
 2*omega; -omega; -2; 1
 2*omega; 1; -omega - 2; 1
 -2*omega - 2; 2; -omega; 2*omega + 1
 -omega - 1; 2; -2*omega - 1; 2*omega + 1
 -omega + 1; -2*omega - 1; omega + 1; -omega - 1
 -omega; 0; 0; 0
 omega + 2; 2; 2*omega + 1; 0
 omega + 1; 2; 2; 0
 -2; omega + 2; 1; omega + 2
 2; 2; -omega - 1; -1
 omega - 1; 2*omega + 1; omega + 2; 1
 -omega; 1; 2; 0
 omega + 1; 0; -2; 0
 omega - 1; -2*omega - 1; 2*omega; 2
 1; -2*omega; omega + 2; -omega
 -2*omega - 2; 0; -omega; omega
 omega + 1; -2; 2*omega; -omega - 1
 -1; -omega + 1; 2*omega + 2; omega + 2
 2; -2; 2*omega; -omega - 2
 2*omega + 1; -2*omega; -1; -omega + 1
 -omega + 1; -omega - 1; omega + 2; -omega - 1
 2*omega; omega + 1; 2*omega + 1; 1
 omega; omega + 1; -omega - 1; 0
 -2; omega - 1; -1; omega + 1
 2*omega + 1; omega; -omega; -omega - 1
 -1; omega; 2*omega + 2; 0
 2*omega + 2; omega; omega + 2; -2*omega - 1
 -2*omega - 2; -omega - 1; 2*omega + 2; omega + 1
 omega + 1; 2*omega; -omega + 1; -omega - 1
 2; -omega - 1; 2*omega + 1; -omega - 1
 omega - 1; -1; 0; 1
 -omega + 1; omega + 2; -omega - 1; omega - 1
 0; omega + 2; omega - 1; omega + 1
 -2*omega - 1; -omega - 2; -2*omega - 2; -1
 omega + 1; -omega - 2; -omega - 2; -omega - 1
 omega + 2; omega - 1; -omega + 1; -2*omega - 2
 0; -2*omega - 1; -omega; -omega
 -omega - 2; -omega - 2; omega; omega + 1
 2; -2; -2*omega; -omega - 2
 -omega; -omega - 2; -omega - 1; -1
 2*omega + 2; omega + 1; 2*omega + 2; -omega
 2*omega + 2; omega - 1; -omega - 2; -omega - 1
 -omega - 2; -omega - 1; -omega; omega + 1
 -2; omega - 1; 0; 1
 omega - 1; 1; -2; omega + 2
 2*omega + 1; -2*omega - 1; 1; -2*omega
 omega + 1; 2; 2*omega + 1; 1
 2; -1; -2*omega - 1; -omega - 2
 -2*omega - 2; -2*omega; 2*omega + 2; omega + 1
 2*omega + 1; -1; 2*omega + 1; -omega
 -omega; -omega + 1; -omega - 1; omega
 -2*omega; -omega; -1; omega
 -2*omega - 1; 1; -omega - 2; 2*omega + 1
 1; -2*omega - 2; -2*omega; -omega - 1
 2; -omega - 2; 2*omega + 2; -2*omega - 2
 2; -omega - 1; -omega - 1; -omega - 2
 omega + 2; 2*omega + 2; omega + 1; -omega - 1
 1; -omega - 1; 2*omega; 0
 -1; 2*omega; 2*omega + 2; 0
 -1; 2*omega; -2*omega - 1; omega
 omega + 2; -2*omega; omega; -omega
 -2*omega - 2; 2*omega + 1; -2*omega; 2*omega
 -2*omega - 2; 2; 2*omega + 1; 2*omega + 2
 -omega + 1; -1; omega + 2; -omega - 2
 2*omega + 1; 2*omega + 1; -omega - 2; 0
 -2; 2*omega; -1; omega + 1
 -omega; omega; 2*omega + 2; -1
 -omega + 1; omega + 2; 2*omega + 1; omega
 -omega - 2; -2*omega; -2*omega - 2; omega + 1
 1; 2*omega; -omega - 2; -1
 omega + 1; 2*omega + 1; -omega; -omega - 1
 -omega; 2*omega + 1; -1; omega - 1
 -omega; 2*omega + 1; -2*omega - 2; omega - 1
 0; 2*omega + 2; 2*omega + 1; omega
 -2*omega - 2; -omega - 1; 0; omega + 1
 2*omega + 2; 1; omega + 1; -omega
 -2; 0; 2; 1
 1; -2*omega - 2; 2*omega; -omega
 -omega - 2; -2; -1; omega + 1
 omega + 2; -1; 1; -2*omega - 2
 omega + 2; -2; omega + 1; -2*omega - 2
 2; 2*omega; 2*omega + 2; -omega - 2
 omega + 2; -omega - 1; 1; -2*omega - 1
 -2*omega; 2*omega; -1; omega - 1
 -2; omega + 1; omega + 1; omega + 2
 -omega + 1; -omega; 0; -1
 omega + 2; -2*omega - 1; -2*omega - 1; -omega - 1
 omega + 1; -omega + 1; 0; 0
 -omega + 1; -omega - 1; 0; -1
 omega + 2; -2*omega; -omega - 2; -omega - 1
 -2*omega - 1; 2*omega; omega + 2; omega - 1
 omega; -2*omega; -2*omega; 1
 2*omega; -1; -omega - 2; -omega
 -omega - 2; -2; 2*omega; omega + 1
 -2*omega; 2*omega + 2; -2*omega - 2; omega - 1
 omega - 1; omega - 1; omega; 1
 omega + 2; -omega - 1; -2*omega; -omega - 1
 -2*omega - 1; -omega + 1; 2*omega + 1; omega + 1
 -2*omega; 2*omega + 2; -2*omega; omega - 1
 -omega + 1; 2; -omega - 1; omega
 2*omega; 2*omega + 2; 1; 1
 omega + 1; -omega - 2; -2*omega; -2*omega - 1
 2*omega + 1; omega + 2; -omega - 1; 0
 -omega - 2; omega - 1; -2; omega + 1
 2; 2*omega + 1; -omega + 1; -omega - 2
 omega + 1; 0; omega - 1; 0
 -2*omega - 1; -2*omega - 2; 2*omega + 1; 0
 omega - 1; omega - 1; 2*omega + 2; 1
 -omega + 1; -omega; 2; -1
 -2*omega - 2; -2*omega - 2; 2*omega + 1; omega + 1
 2; 2*omega; omega + 2; -omega - 2
 0; 1; -omega; 0
 omega + 2; -1; 2*omega + 1; -omega - 1
 -omega - 1; 1; -2; omega + 1
 -2*omega - 1; -2; omega - 1; omega
 -1; -omega - 2; -2*omega - 1; 0
 -2*omega - 2; 2; omega - 1; 2*omega + 2
 omega; -omega; -omega - 2; 1
 2; -omega + 1; omega - 1; 0
 -omega - 2; 1; -2; 2*omega + 2
 -2*omega - 1; -omega; -2; omega
 -omega; -2; -2*omega; -1
 -omega - 1; 1; -2*omega - 2; omega
 2*omega; 1; 2*omega; 1
 0; -2*omega - 1; 2; -omega
 0; 2*omega + 1; 0; 0
 0; omega + 2; 0; omega
 -2*omega - 1; -2*omega; 2*omega; omega + 1
 -2; 2; 2*omega; omega + 2
 omega - 1; -2; -2*omega; -omega
 omega; -2*omega - 1; omega; -omega + 1
 omega + 2; 0; ; -omega - 1
 0; 2; -omega + 1; 0
 2*omega + 1; omega - 1; omega - 1; -omega
 -2*omega - 1; omega; 2; omega
 2; -2*omega - 2; omega - 1; -omega - 1
 omega; -2*omega - 2; 2*omega + 1; -omega + 1
 -2; omega - 1; -2*omega - 1; 0
 -2*omega - 2; omega; -omega; omega
 -omega + 1; 1; 2*omega; omega
 2*omega; 2*omega; omega + 1; -omega
 -1; -1; -2*omega - 2; 0
 2*omega + 2; 2*omega + 2; 2; -omega - 1
 1; 0; omega - 1; 0
 -2; omega; 2; 1
 2*omega + 2; -1; -2*omega; -2*omega - 1
 2*omega; -omega; -omega - 1; -omega + 1
 -omega + 1; -1; 0; -1
 2*omega + 2; omega + 2; -omega + 1; -omega - 1
 -2*omega; -omega - 1; omega; -1
 -omega; omega; omega + 2; -1
 -omega - 1; -2*omega; omega; omega + 1
 -omega - 1; -omega; -omega - 1; omega + 1
 2; -omega - 2; -omega - 1; -omega - 2
 1; -2*omega; 2*omega; 0
 0; -2; 0; -omega - 1
 -omega; -omega; 1; 0
 omega - 1; omega; -2*omega - 1; 0
 2*omega + 1; -omega - 2; 1; -2*omega - 1
 1; -2*omega - 2; 2; -omega - 1
 -omega + 1; 2; -2*omega - 1; -1
 -1; 2*omega + 1; -omega + 1; 0
 omega - 1; -omega - 1; 2*omega; 1
 0; omega; omega - 1; 0
 0; -2*omega; 1; 1
 -2*omega - 2; omega - 1; ; omega
 -omega - 2; -2*omega - 2; -2*omega - 2; omega + 1
 omega; omega; 2*omega; 0
 2*omega + 1; omega + 2; 0; 0
 omega - 1; omega + 1; omega + 1; 1
 -omega - 1; 1; 2*omega + 1; omega + 1
 -omega + 1; omega + 2; -omega + 1; -1
 2*omega; 2; -omega; 1
 -2*omega - 1; omega; -omega - 2; omega - 1
 0; 2*omega; 2*omega; 0
 -1; -omega + 1; 0; omega + 1
 -2*omega; -omega - 1; omega + 1; -1
 0; 2; omega + 2; omega + 1
 2*omega; -omega; 0; -omega + 1
 1; 2*omega + 2; -omega - 1; -1
 omega + 1; 1; -1; 0
 -omega; omega; 2*omega + 1; -1
 omega + 2; -omega; 2; -omega - 1
 0; omega + 1; omega + 2; 0
 -2*omega; -2; -omega - 1; -2
 -2*omega - 2; 2; omega; 2*omega + 2
 2*omega + 2; -omega; -omega; -2*omega - 1
 2; -2; 1; -2*omega - 2
 omega; 2; 0; 1
 2*omega; -1; omega + 2; -omega + 1
 omega + 2; omega - 1; -omega - 1; -omega - 2
